assessment_id,tin,tax_type,yofa,period,kind,caution_flag,amount,due_date,assessed_at
A00000001,100000H,SSC,2021,2021,SELF,0,24.01,2021-09-15,2021-08-16 09:00:00
A00000002,100000H,SSC,2022,2022,SELF,0,1366.79,2022-09-15,2022-08-16 09:00:00
A00000003,100000H,SSC,2023,2023,DEFAULT,0,2153.52,2023-03-15,2023-02-13 09:00:00
A00000004,100000H,SSC,2024,2024,SELF,0,1186.03,2024-09-15,2024-08-16 09:00:00
A00000005,100000H,SSC,2025,2025,SELF,0,2971.98,2025-12-15,2025-11-15 09:00:00
A00000006,100000H,FSS,2023,2023,SELF,0,1366.74,2023-12-15,2023-11-15 09:00:00
A00000007,100000H,FSS,2024,2024,SELF,0,3385.69,2024-12-15,2024-11-15 09:00:00
A00000008,100000H,FSS,2025,2025,SELF,0,4646.58,2025-03-15,2025-02-13 09:00:00
A00000009,100010A,VAT,2021,2021,SELF,0,2.35,2021-03-15,2021-02-13 09:00:00
A00000010,100010A,VAT,2022,2022,SELF,0,2.75,2022-12-15,2022-11-15 09:00:00
A00000011,100010A,VAT,2023,2023,SELF,0,5.03,2023-09-15,2023-08-16 09:00:00
A00000012,100010A,VAT,2024,2024,SELF,0,12.89,2024-06-15,2024-05-16 09:00:00
A00000013,100010A,VAT,2025,2025,DEFAULT,0,18.35,2025-03-15,2025-02-13 09:00:00
A00000014,100010A,FSS,2021,2021,SELF,0,1.02,2021-12-15,2021-11-15 09:00:00
A00000015,100010A,FSS,2022,2022,SELF,0,2.0,2022-09-15,2022-08-16 09:00:00
A00000016,100010A,FSS,2023,2023,SELF,0,4.66,2023-06-15,2023-05-16 09:00:00
A00000017,100010A,FSS,2024,2024,SELF,0,12.09,2024-03-15,2024-02-14 09:00:00
A00000018,100010A,FSS,2025,2025,AUTHORITY,0,18.15,2025-06-15,2025-05-16 09:00:00
A00000019,100010A,CIT,2023,2023,SELF,0,1.93,2023-06-30,2023-05-31 09:00:00
A00000020,100010A,CIT,2024,2024,SELF,0,12.48,2024-06-30,2024-05-31 09:00:00
A00000021,100010A,CIT,2025,2025,AUTHORITY,0,8.69,2025-06-30,2025-05-31 09:00:00
A00000022,100010A,SSC,2022,2022,DEFAULT,1,3.92,2022-12-15,2022-11-15 09:00:00
A00000023,100010A,SSC,2023,2023,SELF,0,8.17,2023-03-15,2023-02-13 09:00:00
A00000024,100010A,SSC,2024,2024,SELF,0,12.24,2024-06-15,2024-05-16 09:00:00
A00000025,100010A,SSC,2025,2025,SELF,0,20.42,2025-09-15,2025-08-16 09:00:00
A00000026,100014B,FSS,2020,2020,SELF,0,326.38,2020-03-15,2020-02-14 09:00:00
A00000027,100014B,FSS,2021,2021,SELF,0,517.66,2021-03-15,2021-02-13 09:00:00
A00000028,100014B,FSS,2022,2022,SELF,0,1198.26,2022-03-15,2022-02-13 09:00:00
A00000029,100014B,FSS,2023,2023,DEFAULT,1,1057.82,2023-09-15,2023-08-16 09:00:00
A00000030,100014B,FSS,2024,2024,SELF,0,2796.44,2024-03-15,2024-02-14 09:00:00
A00000031,100014B,FSS,2025,2025,SELF,0,4726.29,2025-09-15,2025-08-16 09:00:00
A00000032,100014B,CIT,2021,2021,SELF,0,997.97,2021-06-30,2021-05-31 09:00:00
A00000033,100014B,CIT,2022,2022,SELF,0,81.87,2022-06-30,2022-05-31 09:00:00
A00000034,100014B,CIT,2023,2023,SELF,0,663.51,2023-06-30,2023-05-31 09:00:00
A00000035,100014B,CIT,2024,2024,SELF,0,2194.56,2024-06-30,2024-05-31 09:00:00
A00000036,100014B,CIT,2025,2025,SELF,0,7124.25,2025-06-30,2025-05-31 09:00:00
A00000037,100014B,SSC,2023,2023,DEFAULT,0,1133.75,2023-06-15,2023-05-16 09:00:00
A00000038,100014B,SSC,2024,2024,SELF,0,2234.28,2024-09-15,2024-08-16 09:00:00
A00000039,100014B,SSC,2025,2025,AUTHORITY,0,544.42,2025-06-15,2025-05-16 09:00:00
A00000040,100022L,FSS,2022,2022,SELF,0,396.11,2022-06-15,2022-05-16 09:00:00
A00000041,100022L,FSS,2023,2023,AUTHORITY,0,2176.22,2023-12-15,2023-11-15 09:00:00
A00000042,100022L,FSS,2024,2024,SELF,0,1231.19,2024-09-15,2024-08-16 09:00:00
A00000043,100022L,FSS,2025,2025,SELF,0,7990.61,2025-06-15,2025-05-16 09:00:00
A00000044,100022L,SSC,2023,2023,DEFAULT,0,1035.53,2023-06-15,2023-05-16 09:00:00
A00000045,100022L,SSC,2024,2024,SELF,0,1367.76,2024-03-15,2024-02-14 09:00:00
A00000046,100022L,SSC,2025,2025,SELF,0,1381.46,2025-09-15,2025-08-16 09:00:00
A00000047,100028B,CIT,2020,2020,SELF,0,1184.8,2020-06-30,2020-05-31 09:00:00
A00000048,100028B,CIT,2021,2021,SELF,0,601.43,2021-06-30,2021-05-31 09:00:00
A00000049,100028B,CIT,2022,2022,DEFAULT,1,274.89,2022-06-30,2022-05-31 09:00:00
A00000050,100028B,CIT,2023,2023,SELF,0,1738.54,2023-06-30,2023-05-31 09:00:00
A00000051,100028B,CIT,2024,2024,SELF,0,3323.14,2024-06-30,2024-05-31 09:00:00
A00000052,100028B,CIT,2025,2025,SELF,0,752.14,2025-06-30,2025-05-31 09:00:00
A00000053,100036G,CIT,2023,2023,SELF,0,2223.27,2023-06-30,2023-05-31 09:00:00
A00000054,100036G,CIT,2024,2024,SELF,0,1753.62,2024-06-30,2024-05-31 09:00:00
A00000055,100036G,CIT,2025,2025,SELF,0,2182.62,2025-06-30,2025-05-31 09:00:00
A00000056,100036G,VAT,2020,2020,SELF,0,369.41,2020-12-15,2020-11-15 09:00:00
A00000057,100036G,VAT,2021,2021,SELF,0,1085.1,2021-12-15,2021-11-15 09:00:00
A00000058,100036G,VAT,2022,2022,SELF,0,720.52,2022-12-15,2022-11-15 09:00:00
A00000059,100036G,VAT,2023,2023,SELF,0,377.24,2023-12-15,2023-11-15 09:00:00
A00000060,100036G,VAT,2024,2024,SELF,0,1388.05,2024-06-15,2024-05-16 09:00:00
A00000061,100036G,VAT,2025,2025,SELF,0,2680.25,2025-12-15,2025-11-15 09:00:00
A00000062,100036G,SSC,2020,2020,SELF,0,748.42,2020-03-15,2020-02-14 09:00:00
A00000063,100036G,SSC,2021,2021,SELF,0,1510.08,2021-06-15,2021-05-16 09:00:00
A00000064,100036G,SSC,2022,2022,SELF,0,1430.86,2022-06-15,2022-05-16 09:00:00
A00000065,100036G,SSC,2023,2023,SELF,0,150.46,2023-06-15,2023-05-16 09:00:00
A00000066,100036G,SSC,2024,2024,SELF,0,1407.05,2024-12-15,2024-11-15 09:00:00
A00000067,100036G,SSC,2025,2025,SELF,0,6727.79,2025-12-15,2025-11-15 09:00:00
