rcno,rcdt,stus,tin,ptyp,yerr,amount,channel
50000001,2021-09-07,0,100000H,SSC,2021,24.01,DD
50000002,2022-10-09,8,100000H,SSC,2022,1366.79,COUNTER
50000003,2023-03-06,0,100000H,SSC,2023,2153.52,COUNTER
50000004,2024-08-29,0,100000H,SSC,2024,1186.03,COUNTER
50000005,2026-02-07,0,100000H,SSC,2025,2971.98,BANK
50000006,2024-01-14,0,100000H,FSS,2023,1366.74,COUNTER
50000007,2025-01-29,0,100000H,FSS,2024,3385.69,BANK
50000008,2025-04-30,0,100000H,FSS,2025,4646.58,BANK
50000009,2021-04-26,0,100010A,VAT,2021,1.42,PORTAL
50000010,2023-01-01,0,100010A,VAT,2022,1.87,BANK
50000011,2023-10-26,0,100010A,VAT,2023,3.18,COUNTER
50000012,2024-05-27,0,100010A,VAT,2024,4.34,DD
50000013,2025-03-29,0,100010A,VAT,2025,7.34,COUNTER
50000014,2022-11-09,0,100010A,FSS,2022,1.18,DD
50000015,2024-03-10,0,100010A,FSS,2024,4.08,DD
50000016,2025-06-24,0,100010A,FSS,2025,6.25,BANK
50000017,2024-07-07,0,100010A,CIT,2024,6.04,PORTAL
50000018,2025-07-19,0,100010A,CIT,2025,0.51,PORTAL
50000019,2023-01-31,0,100010A,SSC,2022,1.55,BANK
50000020,2023-03-18,0,100010A,SSC,2023,2.5,COUNTER
50000021,2024-06-22,0,100010A,SSC,2024,5.21,COUNTER
50000022,2025-10-10,0,100010A,SSC,2025,0.93,PORTAL
50000023,2020-05-05,0,100014B,FSS,2020,326.38,COUNTER
50000024,2021-04-15,0,100014B,FSS,2021,517.66,PORTAL
50000025,2022-04-11,0,100014B,FSS,2022,1198.26,COUNTER
50000026,2023-10-20,0,100014B,FSS,2023,1057.82,COUNTER
50000027,2024-04-02,0,100014B,FSS,2024,2796.44,COUNTER
50000028,2025-09-20,0,100014B,FSS,2025,4726.29,BANK
50000029,2021-06-26,0,100014B,CIT,2021,997.97,COUNTER
50000030,2022-07-25,0,100014B,CIT,2022,81.87,DD
50000031,2023-07-08,0,100014B,CIT,2023,663.51,PORTAL
50000032,2024-08-18,0,100014B,CIT,2024,2194.56,DD
50000033,2025-07-09,0,100014B,CIT,2025,7124.25,COUNTER
50000034,2023-08-09,0,100014B,SSC,2023,1133.75,PORTAL
50000035,2024-10-08,0,100014B,SSC,2024,2234.28,COUNTER
50000036,2025-07-25,0,100014B,SSC,2025,544.42,PORTAL
50000037,2022-07-27,0,100022L,FSS,2022,396.11,COUNTER
50000038,2023-11-29,0,100022L,FSS,2023,2176.22,BANK
50000039,2024-09-12,0,100022L,FSS,2024,1231.19,BANK
50000040,2025-08-08,0,100022L,FSS,2025,7990.61,BANK
50000041,2023-06-08,0,100022L,SSC,2023,1035.53,DD
50000042,2024-05-09,0,100022L,SSC,2024,1367.76,PORTAL
50000043,2025-10-10,0,100022L,SSC,2025,1381.46,DD
50000044,2020-06-10,0,100028B,CIT,2020,1184.8,BANK
50000045,2021-06-29,0,100028B,CIT,2021,601.43,PORTAL
50000046,2022-06-19,0,100028B,CIT,2022,274.89,COUNTER
50000047,2023-08-12,0,100028B,CIT,2023,1738.54,PORTAL
50000048,2024-08-07,0,100028B,CIT,2024,3323.14,COUNTER
50000049,2025-06-21,0,100028B,CIT,2025,752.14,COUNTER
50000050,2023-07-07,0,100036G,CIT,2023,2223.27,PORTAL
50000051,2024-06-25,0,100036G,CIT,2024,1753.62,DD
50000052,2025-07-14,0,100036G,CIT,2025,2182.62,PORTAL
50000053,2021-01-15,0,100036G,VAT,2020,369.41,COUNTER
50000054,2022-02-02,0,100036G,VAT,2021,1085.1,DD
50000055,2022-12-17,0,100036G,VAT,2022,720.52,COUNTER
50000056,2024-01-24,0,100036G,VAT,2023,377.24,DD
50000057,2024-06-10,0,100036G,VAT,2024,1388.05,COUNTER
50000058,2026-01-29,0,100036G,VAT,2025,2680.25,COUNTER
50000059,2020-03-07,0,100036G,SSC,2020,748.42,PORTAL
50000060,2021-07-04,0,100036G,SSC,2021,1510.08,DD
50000061,2022-06-08,0,100036G,SSC,2022,1430.86,DD
50000062,2023-07-25,0,100036G,SSC,2023,150.46,COUNTER
50000063,2024-12-27,0,100036G,SSC,2024,1407.05,COUNTER
50000064,2025-12-12,0,100036G,SSC,2025,6727.79,COUNTER
50000065,2022-10-27,0,100045G,SSC,2022,1962.54,COUNTER
50000066,2023-06-27,0,100045G,SSC,2023,981.54,DD
50000067,2024-06-25,0,100045G,SSC,2024,2540.64,PORTAL
50000068,2025-10-27,0,100045G,SSC,2025,4158.08,COUNTER
50000069,2022-07-14,0,100052B,SA,2022,1584.28,COUNTER
50000070,2023-06-16,0,100052B,SA,2023,370.37,PORTAL
50000071,2024-08-18,0,100052B,SA,2024,1684.97,COUNTER
50000072,2025-08-18,0,100052B,SA,2025,1845.4,DD
50000073,2022-01-27,0,100058G,SSC,2021,78.67,PORTAL
50000074,2023-01-20,0,100058G,SSC,2022,30.06,DD
50000075,2023-06-15,0,100058G,SSC,2023,24.15,PORTAL
50000076,2024-12-29,0,100058G,SSC,2024,207.53,COUNTER
50000077,2025-12-12,0,100058G,SSC,2025,148.87,PORTAL
50000078,2022-03-03,0,100066A,VAT,2022,611.1,DD
50000079,2024-02-11,0,100066A,VAT,2023,1519.53,BANK
50000080,2024-03-08,0,100066A,VAT,2024,654.76,PORTAL
50000081,2025-03-04,0,100066A,VAT,2025,4324.66,BANK
50000082,2022-08-09,0,100066A,SA,2022,1441.54,DD
50000083,2023-08-14,0,100066A,SA,2023,1851.53,COUNTER
50000084,2024-08-25,0,100066A,SA,2024,1704.53,PORTAL
50000085,2025-08-24,0,100066A,SA,2025,6173.42,BANK
50000086,2022-05-06,0,100071A,SSC,2022,1214.38,PORTAL
50000087,2024-01-15,0,100071A,SSC,2023,1577.95,BANK
50000088,2024-03-26,0,100071A,SSC,2024,3230.53,COUNTER
50000089,2025-10-12,0,100071A,SSC,2025,6038.92,PORTAL
50000090,2020-08-20,0,100071A,SA,2020,304.43,DD
50000091,2021-08-08,0,100071A,SA,2021,888.53,BANK
50000092,2022-07-04,0,100071A,SA,2022,1915.02,DD
50000093,2023-06-18,0,100071A,SA,2023,157.14,BANK
50000094,2024-08-09,0,100071A,SA,2024,1183.26,BANK
50000095,2025-07-01,0,100071A,SA,2025,7096.33,PORTAL
50000096,2021-08-28,0,100077B,SSC,2021,0.73,PORTAL
50000097,2022-07-06,0,100077B,SSC,2022,3.58,BANK
50000098,2023-05-06,0,100077B,SSC,2023,0.86,COUNTER
50000099,2024-04-02,0,100077B,SSC,2024,0.64,PORTAL
50000100,2025-03-26,0,100077B,SSC,2025,4.82,PORTAL
50000101,2024-06-22,0,100077B,CIT,2024,3.35,COUNTER
