tin,tax_type,yofa,period,trcd,sbcd,amount,txn_date,source_ref
100000H,SSC,2021,2021,10,,24.01,2021-08-16,A00000001
100000H,SSC,2021,2021,20,G,-24.01,2021-09-07,R50000001
100000H,SSC,2022,2022,10,,1366.79,2022-08-16,A00000002
100000H,SSC,2022,2022,20,G,-1366.79,2022-10-09,R50000002
100000H,SSC,2023,2023,230,,2153.52,2023-02-13,A00000003
100000H,SSC,2023,2023,20,G,-2153.52,2023-03-06,R50000003
100000H,SSC,2024,2024,10,,1186.03,2024-08-16,A00000004
100000H,SSC,2024,2024,20,G,-1186.03,2024-08-29,R50000004
100000H,SSC,2025,2025,10,,2971.98,2025-11-15,A00000005
100000H,SSC,2025,2025,20,G,-2971.98,2026-02-07,R50000005
100000H,FSS,2023,2023,10,,1366.74,2023-11-15,A00000006
100000H,FSS,2023,2023,20,G,-1366.74,2024-01-14,R50000006
100000H,FSS,2024,2024,10,,3385.69,2024-11-15,A00000007
100000H,FSS,2024,2024,20,G,-3385.69,2025-01-29,R50000007
100000H,FSS,2025,2025,10,,4646.58,2025-02-13,A00000008
100000H,FSS,2025,2025,20,G,-4646.58,2025-04-30,R50000008
100010A,VAT,2021,2021,10,,2.35,2021-02-13,A00000009
100010A,VAT,2021,2021,70,,0.32,2021-04-24,PEN
100010A,VAT,2021,2021,20,G,-1.42,2021-04-26,R50000009
100010A,VAT,2022,2022,10,,2.75,2022-11-15,A00000010
100010A,VAT,2022,2022,60,,0.69,2026-06-01,RST
100010A,VAT,2022,2022,20,G,-1.87,2023-01-01,R50000010
100010A,VAT,2023,2023,10,,5.03,2023-08-16,A00000011
100010A,VAT,2023,2023,70,,0.74,2023-10-25,PEN
100010A,VAT,2023,2023,20,G,-3.18,2023-10-26,R50000011
100010A,VAT,2024,2024,10,,12.89,2024-05-16,A00000012
100010A,VAT,2024,2024,60,,1.86,2026-06-01,RST
100010A,VAT,2024,2024,20,G,-4.34,2024-05-27,R50000012
100010A,VAT,2025,2025,230,,18.35,2025-02-13,A00000013
100010A,VAT,2025,2025,70,,1.14,2025-04-24,PEN
100010A,VAT,2025,2025,60,,1.65,2026-06-01,RST
100010A,VAT,2025,2025,20,G,-7.34,2025-03-29,R50000013
100010A,FSS,2021,2021,10,,1.02,2021-11-15,A00000014
100010A,FSS,2021,2021,70,,0.15,2022-01-24,PEN
100010A,FSS,2022,2022,10,,2.0,2022-08-16,A00000015
100010A,FSS,2022,2022,70,,0.23,2022-10-25,PEN
100010A,FSS,2022,2022,20,G,-1.18,2022-11-09,R50000014
100010A,FSS,2023,2023,10,,4.66,2023-05-16,A00000016
100010A,FSS,2023,2023,70,,0.68,2023-07-25,PEN
100010A,FSS,2023,2023,60,,1.01,2026-06-01,RST
100010A,FSS,2024,2024,10,,12.09,2024-02-14,A00000017
100010A,FSS,2024,2024,70,,1.18,2024-04-24,PEN
100010A,FSS,2024,2024,60,,1.96,2026-06-01,RST
100010A,FSS,2024,2024,20,G,-4.08,2024-03-10,R50000015
100010A,FSS,2025,2025,10,,18.15,2025-05-16,A00000018
100010A,FSS,2025,2025,70,,1.28,2025-07-25,PEN
100010A,FSS,2025,2025,60,,1.31,2026-06-01,RST
100010A,FSS,2025,2025,20,G,-6.25,2025-06-24,R50000016
100010A,CIT,2023,2023,10,,1.93,2023-05-31,A00000019
100010A,CIT,2023,2023,70,,0.22,2023-08-09,PEN
100010A,CIT,2024,2024,10,,12.48,2024-05-31,A00000020
100010A,CIT,2024,2024,70,,1.47,2024-08-09,PEN
100010A,CIT,2024,2024,60,,1.72,2026-06-01,RST
100010A,CIT,2024,2024,20,G,-6.04,2024-07-07,R50000017
100010A,CIT,2025,2025,10,,8.69,2025-05-31,A00000021
100010A,CIT,2025,2025,70,,0.8,2025-08-09,PEN
100010A,CIT,2025,2025,60,,0.57,2026-06-01,RST
100010A,CIT,2025,2025,20,G,-0.51,2025-07-19,R50000018
100010A,SSC,2022,2022,230,,3.92,2022-11-15,A00000022
100010A,SSC,2022,2022,70,,0.4,2023-01-24,PEN
100010A,SSC,2022,2022,60,,0.99,2026-06-01,RST
100010A,SSC,2022,2022,20,G,-1.55,2023-01-31,R50000019
100010A,SSC,2023,2023,10,,8.17,2023-02-13,A00000023
100010A,SSC,2023,2023,60,,1.91,2026-06-01,RST
100010A,SSC,2023,2023,20,G,-2.5,2023-03-18,R50000020
100010A,SSC,2024,2024,10,,12.24,2024-05-16,A00000024
100010A,SSC,2024,2024,70,,1.49,2024-07-25,PEN
100010A,SSC,2024,2024,60,,1.76,2026-06-01,RST
100010A,SSC,2024,2024,20,G,-5.21,2024-06-22,R50000021
100010A,SSC,2025,2025,10,,20.42,2025-08-16,A00000025
100010A,SSC,2025,2025,70,,1.91,2025-10-25,PEN
100010A,SSC,2025,2025,60,,0.98,2026-06-01,RST
100010A,SSC,2025,2025,20,G,-0.93,2025-10-10,R50000022
100014B,FSS,2020,2020,10,,326.38,2020-02-14,A00000026
100014B,FSS,2020,2020,20,G,-326.38,2020-05-05,R50000023
100014B,FSS,2021,2021,10,,517.66,2021-02-13,A00000027
100014B,FSS,2021,2021,20,G,-517.66,2021-04-15,R50000024
100014B,FSS,2022,2022,10,,1198.26,2022-02-13,A00000028
100014B,FSS,2022,2022,20,G,-1198.26,2022-04-11,R50000025
100014B,FSS,2023,2023,230,,1057.82,2023-08-16,A00000029
100014B,FSS,2023,2023,20,G,-1057.82,2023-10-20,R50000026
100014B,FSS,2024,2024,10,,2796.44,2024-02-14,A00000030
100014B,FSS,2024,2024,20,G,-2796.44,2024-04-02,R50000027
100014B,FSS,2025,2025,10,,4726.29,2025-08-16,A00000031
100014B,FSS,2025,2025,20,G,-4726.29,2025-09-20,R50000028
100014B,CIT,2021,2021,10,,997.97,2021-05-31,A00000032
100014B,CIT,2021,2021,20,G,-997.97,2021-06-26,R50000029
100014B,CIT,2022,2022,10,,81.87,2022-05-31,A00000033
100014B,CIT,2022,2022,20,G,-81.87,2022-07-25,R50000030
100014B,CIT,2023,2023,10,,663.51,2023-05-31,A00000034
100014B,CIT,2023,2023,20,G,-663.51,2023-07-08,R50000031
100014B,CIT,2024,2024,10,,2194.56,2024-05-31,A00000035
100014B,CIT,2024,2024,20,G,-2194.56,2024-08-18,R50000032
100014B,CIT,2025,2025,10,,7124.25,2025-05-31,A00000036
100014B,CIT,2025,2025,20,G,-7124.25,2025-07-09,R50000033
100014B,SSC,2023,2023,230,,1133.75,2023-05-16,A00000037
100014B,SSC,2023,2023,20,G,-1133.75,2023-08-09,R50000034
100014B,SSC,2024,2024,10,,2234.28,2024-08-16,A00000038
100014B,SSC,2024,2024,20,G,-2234.28,2024-10-08,R50000035
100014B,SSC,2025,2025,10,,544.42,2025-05-16,A00000039
100014B,SSC,2025,2025,20,G,-544.42,2025-07-25,R50000036
100022L,FSS,2022,2022,10,,396.11,2022-05-16,A00000040
100022L,FSS,2022,2022,20,G,-396.11,2022-07-27,R50000037
100022L,FSS,2023,2023,10,,2176.22,2023-11-15,A00000041
100022L,FSS,2023,2023,20,G,-2176.22,2023-11-29,R50000038
100022L,FSS,2024,2024,10,,1231.19,2024-08-16,A00000042
100022L,FSS,2024,2024,20,G,-1231.19,2024-09-12,R50000039
100022L,FSS,2025,2025,10,,7990.61,2025-05-16,A00000043
100022L,FSS,2025,2025,20,G,-7990.61,2025-08-08,R50000040
100022L,SSC,2023,2023,230,,1035.53,2023-05-16,A00000044
100022L,SSC,2023,2023,20,G,-1035.53,2023-06-08,R50000041
100022L,SSC,2024,2024,10,,1367.76,2024-02-14,A00000045
100022L,SSC,2024,2024,20,G,-1367.76,2024-05-09,R50000042
100022L,SSC,2025,2025,10,,1381.46,2025-08-16,A00000046
100022L,SSC,2025,2025,20,G,-1381.46,2025-10-10,R50000043
100028B,CIT,2020,2020,10,,1184.8,2020-05-31,A00000047
100028B,CIT,2020,2020,20,G,-1184.8,2020-06-10,R50000044
100028B,CIT,2021,2021,10,,601.43,2021-05-31,A00000048
100028B,CIT,2021,2021,20,G,-601.43,2021-06-29,R50000045
100028B,CIT,2022,2022,230,,274.89,2022-05-31,A00000049
100028B,CIT,2022,2022,20,G,-274.89,2022-06-19,R50000046
100028B,CIT,2023,2023,10,,1738.54,2023-05-31,A00000050
100028B,CIT,2023,2023,20,G,-1738.54,2023-08-12,R50000047
100028B,CIT,2024,2024,10,,3323.14,2024-05-31,A00000051
100028B,CIT,2024,2024,20,G,-3323.14,2024-08-07,R50000048
100028B,CIT,2025,2025,10,,752.14,2025-05-31,A00000052
100028B,CIT,2025,2025,20,G,-752.14,2025-06-21,R50000049
100036G,CIT,2023,2023,10,,2223.27,2023-05-31,A00000053
100036G,CIT,2023,2023,20,G,-2223.27,2023-07-07,R50000050
100036G,CIT,2024,2024,10,,1753.62,2024-05-31,A00000054
100036G,CIT,2024,2024,20,G,-1753.62,2024-06-25,R50000051
100036G,CIT,2025,2025,10,,2182.62,2025-05-31,A00000055
100036G,CIT,2025,2025,20,G,-2182.62,2025-07-14,R50000052
100036G,VAT,2020,2020,10,,369.41,2020-11-15,A00000056
100036G,VAT,2020,2020,20,G,-369.41,2021-01-15,R50000053
100036G,VAT,2021,2021,10,,1085.1,2021-11-15,A00000057
100036G,VAT,2021,2021,20,G,-1085.1,2022-02-02,R50000054
100036G,VAT,2022,2022,10,,720.52,2022-11-15,A00000058
100036G,VAT,2022,2022,20,G,-720.52,2022-12-17,R50000055
100036G,VAT,2023,2023,10,,377.24,2023-11-15,A00000059
100036G,VAT,2023,2023,20,G,-377.24,2024-01-24,R50000056
100036G,VAT,2024,2024,10,,1388.05,2024-05-16,A00000060
100036G,VAT,2024,2024,20,G,-1388.05,2024-06-10,R50000057
100036G,VAT,2025,2025,10,,2680.25,2025-11-15,A00000061
100036G,VAT,2025,2025,20,G,-2680.25,2026-01-29,R50000058
